RecordId,Timestamp,SensorName,Level,SensorType,Status,Description
692,2026-04-07 19:36:31,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
691,2026-04-07 19:36:31,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
690,2026-04-07 19:36:30,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
689,2026-04-07 19:36:30,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
688,2026-04-07 19:36:30,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
687,2026-04-07 19:36:29,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
686,2026-04-07 19:36:29,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
685,2026-04-07 19:36:28,ACPI State,Informational,System ACPI Power State,Asserted,S0/G0: working
684,2026-04-07 19:36:14,ACPI State,Informational,System ACPI Power State,Asserted,S4/S5: soft-off
683,2026-04-07 19:35:07,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
682,2026-04-07 19:35:06,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
681,2026-04-07 19:35:06,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
680,2026-04-07 19:35:05,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
679,2026-04-07 19:35:05,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
678,2026-04-07 19:35:04,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
677,2026-04-07 19:35:01,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
676,2026-04-07 19:35:01,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
675,2026-04-07 19:31:45,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
674,2026-04-07 19:31:43,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
673,2026-04-07 19:31:43,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
672,2026-04-07 19:31:43,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
671,2026-04-07 19:31:39,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
670,2026-04-07 19:31:39,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
669,2026-04-07 19:31:37,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
668,2026-04-07 19:31:37,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
667,2026-04-07 19:31:35,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
