sensor id  | sensor name      | value      | unit         | status | lnr        | lc         | lnc        | unc      | uc         | unr        | phys   | nhys  
0x9a       | PS1 IOUT         | 19.000     | Amps         | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x9b       | PS1 IIn          | 1.000      | Amps         | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x9c       | Power1           | 276.000    | Watts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0x9d       | PS1 Inlet Temp   | 24.000     | degrees C    | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0xa6       | FAN Middle Power | 60.000     | Watts        | ok     | na         | na         | na         | na       | na         | na         | 5.000  | 5.000 
0xa7       | SwitchBoard Power2 | 83.200     | Watts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0xa8       | SwitchBoard Temp | 25.000     | degrees C    | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0xa9       | SwitchBoard Power1 | 76.800     | Watts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0xbb       | CLU2 Temp        | 20.000     | degrees C    | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0xbc       | FAN Front Power  | 70.000     | Watts        | ok     | na         | na         | na         | na       | na         | na         | 5.000  | 5.000 
0xbd       | SSD Disk8 Temp   | 42.000     | degrees C    | ok     | na         | na         | na         | 84.000   | 85.000     | na         | 2.000  | 2.000 
0xbe       | SSD Disk9 Temp   | 43.000     | degrees C    | ok     | na         | na         | na         | 84.000   | 85.000     | na         | 2.000  | 2.000 
0xc0       | FAN2 F Speed     | 3402.000   | RPM          | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0xc1       | FAN2 R Speed     | 2520.000   | RPM          | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0xc2       | FAN8 R Speed     | 4536.000   | RPM          | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0xc3       | FAN8 F Speed     | 6048.000   | RPM          | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0xc4       | FAN7 R Speed     | 4536.000   | RPM          | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0xc5       | FAN7 F Speed     | 6048.000   | RPM          | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0xc6       | FAN6 R Speed     | 4536.000   | RPM          | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0xc7       | FAN6 F Speed     | 6048.000   | RPM          | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0xc8       | FAN5 F Speed     | 6048.000   | RPM          | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0xc9       | FAN5 R Speed     | 4536.000   | RPM          | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0xca       | FAN3 F Speed     | 3402.000   | RPM          | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0xcb       | FAN3 R Speed     | 2520.000   | RPM          | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0xcc       | FAN4 R Speed     | 2520.000   | RPM          | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0xcd       | FAN4 F Speed     | 3402.000   | RPM          | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0xce       | FAN1 F Speed     | 3402.000   | RPM          | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0xcf       | FAN1 R Speed     | 2520.000   | RPM          | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0xd1       | FAN10 F Speed    | 6048.000   | RPM          | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0xd2       | FAN10 R Speed    | 4536.000   | RPM          | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0xd3       | FAN11 R Speed    | 4536.000   | RPM          | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0xd4       | FAN11 F Speed    | 6048.000   | RPM          | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0xd5       | FAN9 F Speed     | 6048.000   | RPM          | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0xd6       | FAN9 R Speed     | 4536.000   | RPM          | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
