RecordId,Timestamp,SensorName,Level,SensorType,Status,Description
496,2026-04-07 21:51:21,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
495,2026-04-07 21:51:20,ACPI State,Informational,System ACPI Power State,Asserted,S0/G0: working
494,2026-04-07 21:51:06,ACPI State,Informational,System ACPI Power State,Asserted,S4/S5: soft-off
493,2026-04-07 21:51:03,EXU1 VCC_5V0,Major,Voltage,Deasserted,Lower Critical going low 
492,2026-04-07 21:45:19,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
491,2026-04-07 21:45:18,ACPI State,Informational,System ACPI Power State,Asserted,S0/G0: working
490,2026-04-07 21:45:04,ACPI State,Informational,System ACPI Power State,Asserted,S4/S5: soft-off
489,2026-04-07 21:40:16,EXU1 VCC_5V0,Major,Voltage,Asserted,Lower Critical going low 
488,2026-04-07 21:39:20,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
487,2026-04-07 21:39:18,ACPI State,Informational,System ACPI Power State,Asserted,S0/G0: working
486,2026-04-07 21:39:02,ACPI State,Informational,System ACPI Power State,Asserted,S4/S5: soft-off
485,2026-04-07 21:39:00,EXU1 VCC_5V0,Major,Voltage,Deasserted,Lower Critical going low 
484,2026-04-07 21:34:07,EXU1 VCC_5V0,Major,Voltage,Asserted,Lower Critical going low 
483,2026-04-07 21:33:11,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
482,2026-04-07 21:33:11,ACPI State,Informational,System ACPI Power State,Asserted,S0/G0: working
481,2026-04-07 21:32:57,ACPI State,Informational,System ACPI Power State,Asserted,S4/S5: soft-off
480,2026-04-07 21:32:55,EXU1 VCC_5V0,Major,Voltage,Deasserted,Lower Critical going low 
479,2026-04-07 21:28:09,EXU1 VCC_5V0,Major,Voltage,Asserted,Lower Critical going low 
478,2026-04-07 21:28:09,EXU1 VCC_5V0,Major,Voltage,Asserted,Lower Critical going low 
477,2026-04-07 21:27:11,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
476,2026-04-07 21:27:10,ACPI State,Informational,System ACPI Power State,Asserted,S0/G0: working
475,2026-04-07 21:26:57,ACPI State,Informational,System ACPI Power State,Asserted,S4/S5: soft-off
474,2026-04-07 21:26:54,EXU1 VCC_5V0,Major,Voltage,Deasserted,Lower Critical going low 
473,2026-04-07 21:22:08,EXU1 VCC_5V0,Major,Voltage,Asserted,Lower Critical going low 
472,2026-04-07 21:22:08,EXU1 VCC_5V0,Major,Voltage,Asserted,Lower Critical going low 
471,2026-04-07 21:21:11,ACPI State,Informational,System ACPI Power State,Asserted,S0/G0: working
470,2026-04-07 21:21:08,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
469,2026-04-07 21:20:57,ACPI State,Informational,System ACPI Power State,Asserted,S4/S5: soft-off
468,2026-04-07 21:20:55,EXU1 VCC_5V0,Major,Voltage,Deasserted,Lower Critical going low 
467,2026-04-07 21:15:10,ACPI State,Informational,System ACPI Power State,Asserted,S0/G0: working
466,2026-04-07 21:15:07,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
465,2026-04-07 21:14:54,ACPI State,Informational,System ACPI Power State,Asserted,S4/S5: soft-off
464,2026-04-07 21:09:57,EXU1 VCC_5V0,Major,Voltage,Asserted,Lower Critical going low 
463,2026-04-07 21:09:03,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
462,2026-04-07 21:09:02,ACPI State,Informational,System ACPI Power State,Asserted,S0/G0: working
461,2026-04-07 21:08:49,ACPI State,Informational,System ACPI Power State,Asserted,S4/S5: soft-off
460,2026-04-07 21:08:45,EXU1 VCC_5V0,Major,Voltage,Deasserted,Lower Critical going low 
459,2026-04-07 21:04:00,EXU1 VCC_5V0,Major,Voltage,Asserted,Lower Critical going low 
458,2026-04-07 21:03:04,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
457,2026-04-07 21:03:02,ACPI State,Informational,System ACPI Power State,Asserted,S0/G0: working
456,2026-04-07 21:02:49,ACPI State,Informational,System ACPI Power State,Asserted,S4/S5: soft-off
455,2026-04-07 21:02:47,EXU1 VCC_5V0,Major,Voltage,Deasserted,Lower Critical going low 
454,2026-04-07 20:57:55,EXU1 VCC_5V0,Major,Voltage,Asserted,Lower Critical going low 
453,2026-04-07 20:56:59,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
452,2026-04-07 20:56:58,ACPI State,Informational,System ACPI Power State,Asserted,S0/G0: working
451,2026-04-07 20:56:43,ACPI State,Informational,System ACPI Power State,Asserted,S4/S5: soft-off
450,2026-04-07 20:56:42,EXU1 VCC_5V0,Major,Voltage,Deasserted,Lower Critical going low 
449,2026-04-07 20:51:55,EXU1 VCC_5V0,Major,Voltage,Asserted,Lower Critical going low 
448,2026-04-07 20:50:58,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
447,2026-04-07 20:50:57,ACPI State,Informational,System ACPI Power State,Asserted,S0/G0: working
446,2026-04-07 20:50:43,ACPI State,Informational,System ACPI Power State,Asserted,S4/S5: soft-off
445,2026-04-07 20:50:41,EXU1 VCC_5V0,Major,Voltage,Deasserted,Lower Critical going low 
444,2026-04-07 20:45:54,EXU1 VCC_5V0,Major,Voltage,Asserted,Lower Critical going low 
443,2026-04-07 20:44:58,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
442,2026-04-07 20:44:56,ACPI State,Informational,System ACPI Power State,Asserted,S0/G0: working
441,2026-04-07 20:44:42,ACPI State,Informational,System ACPI Power State,Asserted,S4/S5: soft-off
440,2026-04-07 20:44:40,EXU1 VCC_5V0,Major,Voltage,Deasserted,Lower Critical going low 
439,2026-04-07 20:39:42,EXU1 VCC_5V0,Major,Voltage,Asserted,Lower Critical going low 
438,2026-04-07 20:38:47,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
437,2026-04-07 20:38:46,ACPI State,Informational,System ACPI Power State,Asserted,S0/G0: working
436,2026-04-07 20:38:31,ACPI State,Informational,System ACPI Power State,Asserted,S4/S5: soft-off
435,2026-04-07 20:38:28,EXU1 VCC_5V0,Major,Voltage,Deasserted,Lower Critical going low 
434,2026-04-07 20:33:43,EXU1 VCC_5V0,Major,Voltage,Asserted,Lower Critical going low 
433,2026-04-07 20:33:42,EXU1 VCC_5V0,Major,Voltage,Asserted,Lower Critical going low 
